"key","fr"
"dragons_cadence.lien_pour_le_telecharger.paragraph_1","Vous pouvez le chercher sur le Google Play Store, utiliser ce QR code ou alors utiliser ce <google_play>lien</google_play>:"
"dragons_cadence.media.dragons_cadence_qr_code_png.label","Dragons Cadence Qr Code"
"zero_paws.contexte.heading","Contexte"
"zero_paws.contexte.paragraph_1","Zero Paws est mon deuxième et dernier projet de deuxième année à l'IIM.
Il a été réalisé en groupe de 8 personnes :

3 Game Programmers,
2 Game Designers,
2 Game Artists et
1 Producer.

Une personne de l'équipe devait se désigner pour prendre le rôle de Producer.
Dans notre équipe, l'un des Game Designers s'est proposé."
"zero_paws.pitch.heading","Pitch"
"zero_paws.pitch.paragraph_1","Vous incarnez ZipZap, un chat alien qui infiltre un vaisseau spatial à la recherche d'herbe à chat.

Vous vous déplacez en zéro gravité, tout en évitant les pièges et les ennemis pour atteindre votre objectif."
"zero_paws.walkthrough.heading","Walkthrough"
"zero_paws.walkthrough.iframe_title","Zero Paws Walkthrough"
"zero_paws.mon_travail.heading","Mon travail"
"zero_paws.media.ai_bt_png.label","AI BT"
"zero_paws.les_ia.heading","Les IA"
"zero_paws.les_ia.paragraph_1","Je me suis occupé de développer les IA du jeu.
Pour cela, j'ai utilisé les Behavior Trees d'Unreal Engine.

Leur comportement est séparé en 5 états principaux."
"zero_paws.media.gif_fpsunreal_ai_stun_gif.label","Gif FPSUnreal AI Stun"
"zero_paws.l_etat_etourdi.heading","L'état étourdi"
"zero_paws.l_etat_etourdi.paragraph_1","Les ennemis peuvent être étourdis lorsqu'on leur lance un savon dessus.

Lorsqu'ils sont étourdis, ils n'entendent rien, ne voient rien et ne bougent plus."
"zero_paws.media.gif_fpsunreal_ai_sleep_gif.label","Gif FPSUnreal AI Sleep"
"zero_paws.l_etat_endormi.heading","L'état endormi"
"zero_paws.l_etat_endormi.paragraph_1","Les ennemis peuvent commencer la partie en étant endormis.

Cet état est similaire à l'état étourdi, mais lorsqu'ils entendent un bruit, ils se réveillent et passent à l'état suivant."
"zero_paws.media.gif_fpsunreal_ai_patrol_gif.label","Gif FPSUnreal AI Patrol"
"zero_paws.l_etat_de_patrouille.heading","L'état de patrouille"
"zero_paws.l_etat_de_patrouille.paragraph_1","Les ennemis suivent un chemin prédéterminé.

Dès qu'ils entendent un bruit, ils passent à l'état d'alerte."
"zero_paws.media.gif_fpsunreal_ia_alerted_gif.label","Gif FPSUnreal IA Alerted"
"zero_paws.l_etat_d_alerte.heading","L'état d'alerte"
"zero_paws.l_etat_d_alerte.paragraph_1","Lorsque les ennemis sont alertés, ils se rendent à la position du bruit entendu pour inspecter les alentours.

Ils retournent ensuite à l'état de patrouille."
"zero_paws.media.gif_fpsunreal_ai_seeplayer_gif.label","Gif FPSUnreal AI SeePlayer"
"zero_paws.l_etat_joueur_en_vue.heading","L'état joueur en vue"
"zero_paws.l_etat_joueur_en_vue.paragraph_1","Le dernier état est déclenché lorsqu'un ennemi voit le joueur.
Il s'arrête et regarde dans sa direction.

Si le joueur reste trop longtemps dans son champ de vision, la partie est perdue.
Pour être repéré, une certaine surface du joueur doit être visible."
"zero_paws.media.soap_gif.label","Soap"
"zero_paws.l_objet_savon.heading","L'objet savon"
"zero_paws.l_objet_savon.paragraph_1","J'ai développé le fonctionnement du savon.

Il permet d'étourdir les ennemis pendant un certain temps lorsqu'ils sont touchés."
"zero_paws.media.raygun_gif.label","Raygun"
"zero_paws.l_objet_raygun.heading","L'objet raygun"
"zero_paws.l_objet_raygun.paragraph_1","Le jeu contient également un raygun, qui permet d'éliminer temporairement un ennemi.

Je me suis occupé de son comportement et de son effet de tir."
"zero_paws.media.alarm_mp4.label","Alarm"
"zero_paws.les_alarmes.heading","Les alarmes"
"zero_paws.les_alarmes.paragraph_1","Les alarmes font partie des pièges du jeu.
Elles sont déclenchées par d'autres pièges, comme les lasers.

Lorsqu'elles sont activées, elles produisent un bruit continu qui alerte les ennemis.
Les ennemis vont ensuite désactiver l'alarme une fois qu'ils l'ont atteinte."
"zero_paws.media.tool_prototype_mp4.label","Tool Prototype"
"zero_paws.prototype_de_tool.heading","Prototype de tool"
"zero_paws.prototype_de_tool.paragraph_1","Pour finir, j'ai réalisé un prototype d'outil pour créer le squelette des niveaux.

Il permet de générer une salle de n'importe quelle forme et de n'importe quelle taille dans une grille."
"zero_paws.lien_pour_le_telecharger.heading","Lien pour le télécharger"
"zero_paws.lien_pour_le_telecharger.paragraph_1","Vous pouvez télécharger une build via ce <itch>lien itch</itch>."
"school_projects.mes_projets_d_ecole.heading","Mes projets d'école"
"school_projects.auguste_paccapelo.heading","Auguste Paccapelo"
"blind_gunner.contexte.heading","Contexte"
"blind_gunner.contexte.paragraph_1","Blind Gunner est mon premier projet réalisé durant ma première année à ISART Digital.
J'ai travaillé seul sur le Game Programming, le Game Design et le Game Art.

La seule contrainte était de créer un shoot 'em up."
"blind_gunner.pitch.heading","Pitch"
"blind_gunner.pitch.paragraph_1","Le jeu repose sur 3 types d'éléments :
les ennemis,
les collectibles,
et les obstacles.

Le joueur ne peut voir clairement qu'une seule catégorie à la fois.
Pour tirer sur les ennemis, il doit activer le filtre des ennemis. Pour récupérer les collectibles, il doit passer sur le filtre des collectibles. Les obstacles, eux, restent toujours dangereux, mais certains peuvent être détruits avec le bon filtre."
"blind_gunner.walkthrough.heading","Walkthrough"
"blind_gunner.media.shmup_blindgunner_walktrough_mp4.label","SHMUP BlindGunner WalkTrough"
"blind_gunner.mon_travail.heading","Mon travail"
"blind_gunner.media.filters_gif.label","Filters"
"blind_gunner.le_systeme_de_filtres.heading","Le système de filtres"
"blind_gunner.le_systeme_de_filtres.paragraph_1","L'idée originale était que le joueur ne puisse voir qu'un seul type d'élément à la fois, les autres devenant complètement invisibles.

Même si cette mécanique avait été validée au début du projet, il m'a été demandé durant la dernière semaine de la modifier. Avec le temps restant, j'ai ajusté le système pour rendre les éléments non filtrés légèrement visibles.

Le joueur peut alterner entre 3 filtres :
un filtre pour voir les ennemis,
un filtre pour voir les collectibles,
et un filtre pour voir les obstacles.

Ne pas voir un élément ne signifie pas qu'il disparaît : avec le filtre des collectibles, les ennemis et les obstacles peuvent toujours infliger des dégâts, mais le joueur ne peut pas les toucher avec ses tirs."
"blind_gunner.media.ennemies_cac_gif.label","Ennemies CAC"
"blind_gunner.les_ennemis_au_corps_a_corps.heading","Les ennemis au corps à corps"
"blind_gunner.les_ennemis_au_corps_a_corps.paragraph_1","Le premier type d'ennemi attaque au corps à corps.
Il se déplace vers le joueur en oscillant, puis est détruit lorsqu'il touche le joueur."
"blind_gunner.media.ennemies_distance_gif.label","Ennemies Distance"
"blind_gunner.les_ennemis_a_distance.heading","Les ennemis à distance"
"blind_gunner.les_ennemis_a_distance.paragraph_1","Il existe aussi 2 types d'ennemis à distance.
Le premier reste sur place et tire droit devant lui.
Le second reste à droite de l'écran et continue d'attaquer jusqu'à ce que le joueur le détruise."
"blind_gunner.media.collectibles_gif.label","Collectibles"
"blind_gunner.les_collectibles.heading","Les collectibles"
"blind_gunner.les_collectibles.paragraph_1","Il existe 3 collectibles différents :
un collectible qui redonne de la vie,
un collectible qui améliore le personnage,
et un collectible qui donne une bombe au joueur."
"blind_gunner.media.boss_mp4.label","Boss"
"blind_gunner.le_boss.heading","Le boss"
